198.160.151.0,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.1,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.2,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.3,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.4,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.5,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.6,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.7,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.8,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.9,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.10,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.11,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.12,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.13,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.14,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.15,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.16,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.17,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.18,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.19,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.20,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.21,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.22,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.23,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.24,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.25,dd-apn1.eml100hnd.ctr.sophos.com,delta-delivery
198.160.151.26,dx-apn1.eml100hnd.ctr.sophos.com,delta-xdelivery
