159.112.232.0,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.1,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.2,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.3,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.4,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.5,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.6,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.7,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.8,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.9,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.10,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.11,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.12,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.13,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.14,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.15,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.16,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.17,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.18,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.19,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.20,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.21,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.22,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.23,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.24,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.25,dd-aps1.eml100bom.ctr.sophos.com,delta-delivery
159.112.232.26,dx-aps1.eml100bom.ctr.sophos.com,delta-xdelivery
159.112.232.27,dx-aps1.eml100bom.ctr.sophos.com,delta-xdelivery
159.112.232.28,dx-aps1.eml100bom.ctr.sophos.com,delta-xdelivery
159.112.232.29,dx-aps1.eml100bom.ctr.sophos.com,delta-xdelivery
159.112.232.30,dx-aps1.eml100bom.ctr.sophos.com,delta-xdelivery
159.112.232.31,dx-aps1.eml100bom.ctr.sophos.com,delta-xdelivery
159.112.232.32,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.33,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.34,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.35,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.36,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.37,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.38,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.39,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.40,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.41,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.42,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.43,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.44,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.45,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.46,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.47,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.48,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.49,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.50,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.51,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.52,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.53,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.54,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.55,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.56,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.57,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.58,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.59,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.60,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.61,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.62,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.63,spare-aps1.eml100bom.ctr.sophos.com,spare
159.112.232.64,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.65,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.66,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.67,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.68,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.69,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.70,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.71,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.72,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.73,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.74,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.75,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
159.112.232.76,id-aps1.eml100bom.ctr.sophos.com,internet-delivery
